strain	Accession	source	country	division	location	date	original_annotated_subtype	original_annotated_genotype	clade_membership
HCV/P5/OP022906/UNITED-KINGDOM/2018	MW041294	ictv	United Kingdom	?	?	2004-XX-XX	2	2	2
HCV/P6/OP022907/UNITED-KINGDOM/2019	MW041295	ictv	United Kingdom	?	?	2005-XX-XX	2v	2	2
HCV/P7/OP022908/UNITED-KINGDOM/2019	MW041296	ictv	United Kingdom	?	?	2005-XX-XX	2	2	2
HCV/P8/OP022909/UNITED-KINGDOM/2019	MW041297	ictv	United Kingdom	?	?	2007-XX-XX	2v	2	2
HCV/P9/OP022910/UNITED-KINGDOM/2019	MW041298	ictv	United Kingdom	?	?	2008-XX-XX	2v	2	2
HCV/P10/OP022911/UNITED-KINGDOM/2019	MW041299	ictv	United Kingdom	?	?	2005-XX-XX	2v	2	2
HCV/S553_20120314_FL_B16/OK552732/USA/2012	KC844042	ictv	USA	?	?	2010-XX-XX	2f	2	2
HCV/S553_20120314_FL_B17/OK552733/USA/2012	KC844050	ictv	USA	?	?	2002-XX-XX	2f	2	2
HCV/S553_20120314_FL_B19/OK552734/USA/2012	KC197236	ictv	USA	?	?	1995-XX-XX	2	2	2
HCV/S553_20120314_FL_B20/OK552735/USA/2012	KC197237	ictv	USA	?	?	2001-XX-XX	2	2	2
HCV/S553_20120314_FL_B22/OK552736/USA/2012	KC197238	ictv	USA	?	?	1995-XX-XX	2t	2	2
HCV/S553_20120314_FL_B23/OK552737/USA/2012	KC197239	ictv	USA	?	?	2009-XX-XX	2	2	2
HCV/S553_20130122_FL_A08/OK552795/USA/2013	FN666428	ictv	USA	?	?	2002-XX-XX	2q	2	2
HCV/S553_20130122_FL_A10/OK552796/USA/2013	FN666429	ictv	USA	?	?	2001-XX-XX	2q	2	2
HCV/S553_20130122_FL_A15/OK552798/USA/2013	HM777359	ictv	USA	?	?	2005-11-14	2j	2	2
HCV/S553_20150212_FL_A03/OK552904/USA/2015	OK552904	ncbi	USA	?	?	2015-02-12	?	?	2
HCV/S553_20150212_FL_A04/OK552905/USA/2015	OK552905	ncbi	USA	?	?	2015-02-12	?	?	2
HCV/S553_20150212_FL_A06/OK552907/USA/2015	OK552907	ncbi	USA	?	?	2015-02-12	?	?	2
HCV/S553_20150212_FL_A07/OK552908/USA/2015	OK552908	ncbi	USA	?	?	2015-02-12	?	?	2
HCV/S553_20150212_FL_A08/OK552909/USA/2015	OK552909	ncbi	USA	?	?	2015-02-12	?	?	2
HCV/S553_20150212_FL_A12/OK552912/USA/2015	OK552912	ncbi	USA	?	?	2015-02-12	?	?	2
HCV/S553_20150212_FL_A16/OK552915/USA/2015	OK552915	ncbi	USA	?	?	2015-02-12	?	?	2
HCV/S553_20150212_FL_A17/OK552916/USA/2015	OK552916	ncbi	USA	?	?	2015-02-12	?	?	2
HCV/S553_20150212_FL_A18/OK552917/USA/2015	OK552917	ncbi	USA	?	?	2015-02-12	?	?	2
HCV/S553_20150212_FL_A22/OK552918/USA/2015	OK552918	ncbi	USA	?	?	2015-02-12	?	?	2
HCV/S553_20150212_FL_A24/OK552920/USA/2015	OK552920	ncbi	USA	?	?	2015-02-12	?	?	2
HCV/S553_20150212_FL_A26/OK552921/USA/2015	OK552921	ncbi	USA	?	?	2015-02-12	?	?	2
HCV/S553_20150212_FL_C01/OK552922/USA/2015	OK552922	ncbi	USA	?	?	2015-02-12	?	?	2
HCV/S553_20150212_FL_C02/OK552923/USA/2015	OK552923	ncbi	USA	?	?	2015-02-12	?	?	2
HCV/S553_20150212_FL_C04/OK552925/USA/2015	OK552925	ncbi	USA	?	?	2015-02-12	?	?	2
HCV/S553_20150212_FL_C06/OK552926/USA/2015	OK552926	ncbi	USA	?	?	2015-02-12	?	?	2
HCV/S553_20160729_FL_A01/OK552927/USA/2016	OK552927	ncbi	USA	?	?	2016-07-29	?	?	2
HCV/S553_20160729_FL_A05/OK552930/USA/2016	OK552930	ncbi	USA	?	?	2016-07-29	?	?	2
HCV/S553_20160729_FL_A07/OK552931/USA/2016	OK552931	ncbi	USA	?	?	2016-07-29	?	?	2
HCV/S553_20160729_FL_A08/OK552932/USA/2016	OK552932	ncbi	USA	?	?	2016-07-29	?	?	2
HCV/S553_20160729_FL_A11/OK552935/USA/2016	OK552935	ncbi	USA	?	?	2016-07-29	?	?	2
HCV/S553_20160729_FL_A14/OK552937/USA/2016	OK552937	ncbi	USA	?	?	2016-07-29	?	?	2
HCV/S553_20160729_FL_A19/OK552941/USA/2016	OK552941	ncbi	USA	?	?	2016-07-29	?	?	2
HCV/S553_20160729_FL_A21/OK552942/USA/2016	OK552942	ncbi	USA	?	?	2016-07-29	?	?	2
HCV/S553_20160729_FL_A23/OK552944/USA/2016	OK552944	ncbi	USA	?	?	2016-07-29	?	?	2
HCV/S553_20160729_FL_A24/OK552945/USA/2016	OK552945	ncbi	USA	?	?	2016-07-29	?	?	2
HCV/S553_20160729_FL_B05/OK552948/USA/2016	OK552948	ncbi	USA	?	?	2016-07-29	?	?	2
HCV/S553_20160729_FL_B06/OK552949/USA/2016	OK552949	ncbi	USA	?	?	2016-07-29	?	?	2
HCV/S553_20160729_FL_B07/OK552950/USA/2016	OK552950	ncbi	USA	?	?	2016-07-29	?	?	2
HCV/S553_20160729_FL_B12/OK552951/USA/2016	OK552951	ncbi	USA	?	?	2016-07-29	?	?	2
HCV/S553_20160729_FL_B13/OK552952/USA/2016	OK552952	ncbi	USA	?	?	2016-07-29	?	?	2
HCV/S553_20160729_FL_B14/OK552953/USA/2016	OK552953	ncbi	USA	?	?	2016-07-29	?	?	2
HCV/S553_20160729_FL_B15/OK552954/USA/2016	OK552954	ncbi	USA	?	?	2016-07-29	?	?	2
HCV/S553_20160729_FL_B18/OK552955/USA/2016	OK552955	ncbi	USA	?	?	2016-07-29	?	?	2
HCV/S553_20160729_FL_B21/OK552957/USA/2016	OK552957	ncbi	USA	?	?	2016-07-29	?	?	2
HCV/S553_20160729_FL_B22/OK552958/USA/2016	OK552958	ncbi	USA	?	?	2016-07-29	?	?	2
HCV/S553_20160729_FL_B23/OK552959/USA/2016	OK552959	ncbi	USA	?	?	2016-07-29	?	?	2
HCV/S553_20170123_FL_A04/OK552962/USA/2017	OK552962	ncbi	USA	?	?	2017-01-23	?	?	2
HCV/S553_20170123_FL_A05/OK552963/USA/2017	OK552963	ncbi	USA	?	?	2017-01-23	?	?	2
HCV/S553_20170123_FL_A06/OK552964/USA/2017	OK552964	ncbi	USA	?	?	2017-01-23	?	?	2
HCV/S553_20170123_FL_A10/OK552967/USA/2017	OK552967	ncbi	USA	?	?	2017-01-23	?	?	2
HCV/S553_20170123_FL_A12/OK552969/USA/2017	OK552969	ncbi	USA	?	?	2017-01-23	?	?	2
HCV/S553_20170123_FL_A16/OK552972/USA/2017	OK552972	ncbi	USA	?	?	2017-01-23	?	?	2
HCV/S553_20170123_FL_A18/OK552973/USA/2017	OK552973	ncbi	USA	?	?	2017-01-23	?	?	2
HCV/S553_20170123_FL_B01/OK552976/USA/2017	OK552976	ncbi	USA	?	?	2017-01-23	?	?	2
HCV/S553_20170123_FL_B08/OK552978/USA/2017	OK552978	ncbi	USA	?	?	2017-01-23	?	?	2
HCV/S553_20170123_FL_B11/OK552979/USA/2017	OK552979	ncbi	USA	?	?	2017-01-23	?	?	2
HCV/S553_20170123_FL_B12/OK552980/USA/2017	OK552980	ncbi	USA	?	?	2017-01-23	?	?	2
HCV/S553_20170123_FL_B15/OK552982/USA/2017	OK552982	ncbi	USA	?	?	2017-01-23	?	?	2
HCV/S553_20170123_FL_B16/OK552983/USA/2017	OK552983	ncbi	USA	?	?	2017-01-23	?	?	2
HCV/S553_20170123_FL_B23/OK552986/USA/2017	OK552986	ncbi	USA	?	?	2017-01-23	?	?	2
HCV/S553_20170123_FL_B25/OK552987/USA/2017	OK552987	ncbi	USA	?	?	2017-01-23	?	?	2
HCV/S553_20170123_FL_B29/OK552989/USA/2017	OK552989	ncbi	USA	?	?	2017-01-23	?	?	2
HCV/S553_20170123_FL_B30/OK552990/USA/2017	OK552990	ncbi	USA	?	?	2017-01-23	?	?	2
