strain	Accession	source	country	division	location	date	original_annotated_subtype	original_annotated_genotype	clade_membership
HCV/S553_20130122_FL_A07/OK552794/USA/2013	HQ537009	ictv	USA	?	?	2006-02-13	4v	4	4
HCV/G48_160518/MW715689/UNITED-KINGDOM/2018	MW715689	ncbi	United Kingdom	?	?	2018-05-16	?	?	4
HCV/P155_181209/MW675797/UNITED-KINGDOM/2009	MW675797	ncbi	United Kingdom	?	?	2009-12-18	?	?	4
HCV/P155_210110/MW675798/UNITED-KINGDOM/2010	MW675798	ncbi	United Kingdom	?	?	2010-01-21	?	?	4
HCV/P155_220410/MW675799/UNITED-KINGDOM/2010	MW675799	ncbi	United Kingdom	?	?	2010-04-22	?	?	4
HCV/P155_241011/MW675800/UNITED-KINGDOM/2011	MW675800	ncbi	United Kingdom	?	?	2011-10-24	?	?	4
HCV/UFORM0174/MW629118/USA/2011	MW629118	ncbi	USA	?	?	2011-11-16	?	?	4
HCV/EGHKS2/MN977326/EGYPT/2018	MN977326	ncbi	Egypt	?	?	2018-04-XX	?	?	4
HCV/EGHKS5/MN977328/EGYPT/2018	MN977328	ncbi	Egypt	?	?	2018-04-XX	?	?	4
HCV/EGHK6/MN977329/EGYPT/2018	MN977329	ncbi	Egypt	?	?	2018-04-XX	?	?	4
HCV/EG/MN782310/EGYPT/2018	MN782310	ncbi	Egypt	?	?	2018-04-XX	?	?	4
HCV/EG_S/MN782309/EGYPT/2018	MN782309	ncbi	Egypt	?	?	2018-04-XX	?	?	4
HCV/4A_053/LC368356/JAPAN/1999	LC368356	ncbi	Japan	?	?	1999-XX-XX	4a	4	4
HCV/4A_054/LC368357/JAPAN/2008	LC368357	ncbi	Japan	?	?	2008-XX-XX	4a	4	4
HCV/4A_112/LC368414/JAPAN/2011	LC368414	ncbi	Japan	?	?	2011-XX-XX	4a	4	4
HCV/EG/MK799639/EGYPT/2018	MK799639	ncbi	Egypt	?	?	2018-04-XX	?	?	4
HCV/A352/MH477417/CAMEROON/2016	MH477417	ncbi	Cameroon	?	?	2016-XX-XX	?	?	4
HCV/A711/MH477418/CAMEROON/2016	MH477418	ncbi	Cameroon	?	?	2016-XX-XX	?	?	4
HCV/K8259/MH477421/CAMEROON/2016	MH477421	ncbi	Cameroon	?	?	2016-XX-XX	?	?	4
HCV/S6406/MH477424/CAMEROON/2016	MH477424	ncbi	Cameroon	?	?	2016-XX-XX	?	?	4
HCV/K4583/MH477426/CAMEROON/2015	MH477426	ncbi	Cameroon	?	?	2015-XX-XX	?	?	4
HCV/U49_MISENYI/MH742360/UGANDA/2014	MH742360	ncbi	Uganda	?	?	2014-05-20	?	?	4
HCV/U100_KYAMULIBWA/MH742361/UGANDA/2014	MH742361	ncbi	Uganda	?	?	2014-05-20	?	?	4
HCV/U149_BULWADDA/MH742362/UGANDA/2014	MH742362	ncbi	Uganda	?	?	2014-05-20	?	?	4
HCV/U150_BULWADDA/MH742363/UGANDA/2014	MH742363	ncbi	Uganda	?	?	2014-05-20	?	?	4
HCV/U275_NAKASEETA/MH742364/UGANDA/2014	MH742364	ncbi	Uganda	?	?	2014-05-20	?	?	4
HCV/U278_NALUNNYA/MH742365/UGANDA/2014	MH742365	ncbi	Uganda	?	?	2014-05-20	?	?	4
HCV/U282_NALUNNYA/MH742366/UGANDA/2014	MH742366	ncbi	Uganda	?	?	2014-05-20	?	?	4
HCV/U294_BUSOGA/MH742367/UGANDA/2014	MH742367	ncbi	Uganda	?	?	2014-05-20	?	?	4
HCV/U295_BUSOGA/MH742368/UGANDA/2014	MH742368	ncbi	Uganda	?	?	2014-05-20	?	?	4
HCV/U316_BUTITI/MH742369/UGANDA/2014	MH742369	ncbi	Uganda	?	?	2014-05-20	?	?	4
HCV/U317_BUTITI/MH742370/UGANDA/2014	MH742370	ncbi	Uganda	?	?	2014-05-20	?	?	4
HCV/U320_BUTITI/MH742371/UGANDA/2014	MH742371	ncbi	Uganda	?	?	2014-05-20	?	?	4
HCV/NED4-7/KU871283/NETHERLANDS/2014	KU871283	ncbi	Netherlands	?	?	2014-01-01	?	?	4
HCV/NED4-8/KU871284/NETHERLANDS/2014	KU871284	ncbi	Netherlands	?	?	2014-01-01	?	?	4
HCV/NED4-6/KU871285/NETHERLANDS/2014	KU871285	ncbi	Netherlands	?	?	2014-01-01	?	?	4
HCV/NED4-15/KU871286/NETHERLANDS/2014	KU871286	ncbi	Netherlands	?	?	2014-01-01	?	?	4
HCV/NED4-16/KU871287/NETHERLANDS/2014	KU871287	ncbi	Netherlands	?	?	2014-01-01	?	?	4
HCV/NED4-13/KU871288/NETHERLANDS/2014	KU871288	ncbi	Netherlands	?	?	2014-01-01	?	?	4
HCV/NED4-10/KU871289/NETHERLANDS/2014	KU871289	ncbi	Netherlands	?	?	2014-01-01	?	?	4
HCV/NED4-11/KU871290/NETHERLANDS/2014	KU871290	ncbi	Netherlands	?	?	2014-01-01	?	?	4
HCV/NED4-9/KU871291/NETHERLANDS/2014	KU871291	ncbi	Netherlands	?	?	2014-01-01	?	?	4
HCV/NED4-14/KU871292/NETHERLANDS/2014	KU871292	ncbi	Netherlands	?	?	2014-01-01	?	?	4
HCV/NED4-12/KU871293/NETHERLANDS/2014	KU871293	ncbi	Netherlands	?	?	2014-01-01	?	?	4
HCV/K/KM587624/USA/2012	KM587624	ncbi	USA	?	?	2012-07-16	?	?	4
HCV/L/KM587625/USA/2012	KM587625	ncbi	USA	?	?	2012-07-18	?	?	4
HCV/4D_ZS537/KC844045/CHINA/2010	KC844045	ncbi	China	?	?	2010-XX-XX	4d	4	4
