strain	Accession	source	country	division	location	date	original_annotated_subtype	original_annotated_genotype	clade_membership
HCV/P12/OP022913/UNITED-KINGDOM/2019	MH921830	ictv	United Kingdom	?	?	2018-06-XX	1	1	1
HCV/P13/OP022914/UNITED-KINGDOM/2018	MH885469	ictv	United Kingdom	?	?	2017-XX-XX	1o	1	1
HCV/S553_20090408_FL_B16/OK552685/USA/2009	KY348757	ictv	USA	?	?	2015-09-XX	1	1	1
HCV/S553_20130122_FL_A03/OK552792/USA/2013	HQ537007	ictv	USA	?	?	2005-05-09	1	1	1
HCV/S553_20131105_FL_C31/OK552900/USA/2013	OK552900	ncbi	USA	?	?	2013-11-05	?	?	1
HCV/S553_20131105_FL_C32/OK552901/USA/2013	OK552901	ncbi	USA	?	?	2013-11-05	?	?	1
HCV/S553_20131105_FL_C34/OK552902/USA/2013	OK552902	ncbi	USA	?	?	2013-11-05	?	?	1
HCV/S180_20061027_FL_01/OK552997/USA/2006	OK552997	ncbi	USA	?	?	2006-10-27	?	?	1
HCV/S180_20061027_FL_07/OK553002/USA/2006	OK553002	ncbi	USA	?	?	2006-10-27	?	?	1
HCV/S180_20061027_FL_19/OK553014/USA/2006	OK553014	ncbi	USA	?	?	2006-10-27	?	?	1
HCV/S180_20061027_FL_21/OK553016/USA/2006	OK553016	ncbi	USA	?	?	2006-10-27	?	?	1
HCV/S180_20061027_FL_23/OK553018/USA/2006	OK553018	ncbi	USA	?	?	2006-10-27	?	?	1
HCV/S180_20061027_FL_25/OK553020/USA/2006	OK553020	ncbi	USA	?	?	2006-10-27	?	?	1
HCV/S180_20061027_FL_27/OK553022/USA/2006	OK553022	ncbi	USA	?	?	2006-10-27	?	?	1
HCV/S180_20061027_FL_28/OK553023/USA/2006	OK553023	ncbi	USA	?	?	2006-10-27	?	?	1
HCV/S180_20061027_FL_32/OK553025/USA/2006	OK553025	ncbi	USA	?	?	2006-10-27	?	?	1
HCV/S180_20061027_FL_37/OK553029/USA/2006	OK553029	ncbi	USA	?	?	2006-10-27	?	?	1
HCV/S180_20061128_FL_06/OK553034/USA/2006	OK553034	ncbi	USA	?	?	2006-11-28	?	?	1
HCV/S180_20061128_FL_07/OK553035/USA/2006	OK553035	ncbi	USA	?	?	2006-11-28	?	?	1
HCV/S180_20061128_FL_08/OK553036/USA/2006	OK553036	ncbi	USA	?	?	2006-11-28	?	?	1
HCV/S180_20061128_FL_12/OK553040/USA/2006	OK553040	ncbi	USA	?	?	2006-11-28	?	?	1
HCV/S180_20061128_FL_15/OK553041/USA/2006	OK553041	ncbi	USA	?	?	2006-11-28	?	?	1
HCV/S180_20061128_FL_19/OK553044/USA/2006	OK553044	ncbi	USA	?	?	2006-11-28	?	?	1
HCV/S180_20061128_FL_20/OK553045/USA/2006	OK553045	ncbi	USA	?	?	2006-11-28	?	?	1
HCV/S180_20061128_FL_24/OK553049/USA/2006	OK553049	ncbi	USA	?	?	2006-11-28	?	?	1
HCV/S180_20061128_FL_35/OK553055/USA/2006	OK553055	ncbi	USA	?	?	2006-11-28	?	?	1
HCV/S180_20061128_FL_42/OK553060/USA/2006	OK553060	ncbi	USA	?	?	2006-11-28	?	?	1
HCV/S180_20061128_FL_46/OK553063/USA/2006	OK553063	ncbi	USA	?	?	2006-11-28	?	?	1
HCV/S180_20070221_FL_A01/OK553065/USA/2007	OK553065	ncbi	USA	?	?	2007-02-21	?	?	1
HCV/S180_20070221_FL_A02/OK553066/USA/2007	OK553066	ncbi	USA	?	?	2007-02-21	?	?	1
HCV/S180_20070221_FL_A04/OK553067/USA/2007	OK553067	ncbi	USA	?	?	2007-02-21	?	?	1
HCV/S180_20070221_FL_A05/OK553068/USA/2007	OK553068	ncbi	USA	?	?	2007-02-21	?	?	1
HCV/S180_20070221_FL_A07/OK553069/USA/2007	OK553069	ncbi	USA	?	?	2007-02-21	?	?	1
HCV/S180_20070221_FL_A08/OK553070/USA/2007	OK553070	ncbi	USA	?	?	2007-02-21	?	?	1
HCV/S180_20070221_FL_A09/OK553071/USA/2007	OK553071	ncbi	USA	?	?	2007-02-21	?	?	1
HCV/S180_20070221_FL_A10/OK553072/USA/2007	OK553072	ncbi	USA	?	?	2007-02-21	?	?	1
HCV/S180_20070221_FL_A11/OK553073/USA/2007	OK553073	ncbi	USA	?	?	2007-02-21	?	?	1
